[アラーム用辞書]
54,M923,補給水ﾎﾟﾝﾌﾟ異常,ON,OFF,2,DEV1.M923,1,-1,-1
55,M924,揚水ﾎﾟﾝﾌﾟ異常,ON,OFF,2,DEV1.M924,1,-1,-1
56,M925,主空気調和器用送風機1異常,ON,OFF,2,DEV1.M925,1,-1,-1
57,M926,主空気調和器用送風機2異常,ON,OFF,2,DEV1.M926,1,-1,-1
58,M927,新鮮空気除湿機異常,ON,OFF,2,DEV1.M927,1,-1,-1
59,M928,貫流ﾎﾞｲﾗ異常,ON,OFF,2,DEV1.M928,1,-1,-1
60,M929,小型空気圧縮機異常,ON,OFF,2,DEV1.M929,1,-1,-1
61,M930,動力装置冷却用給気送風機異常,ON,OFF,2,DEV1.M930,1,-1,-1
62,M931,排風送風機異常,ON,OFF,2,DEV1.M931,1,-1,-1
63,M932,中和装置異常,ON,OFF,2,DEV1.M932,1,-1,-1
64,M933,冷媒ﾎﾟﾝﾌﾟ1異常,ON,OFF,2,DEV1.M933,1,-1,-1
65,M934,冷媒ﾎﾟﾝﾌﾟ2異常,ON,OFF,2,DEV1.M934,1,-1,-1
66,M935,主空気調和器用ﾋｰﾀ異常,ON,OFF,2,DEV1.M935,1,-1,-1
67,M936,新鮮空気調和器用ﾋｰﾀ異常,ON,OFF,2,DEV1.M936,1,-1,-1
68,M937,新鮮空気調和器用送風機異常,ON,OFF,2,DEV1.M937,1,-1,-1
69,M938,排ｶﾞｽ送風機異常,ON,OFF,2,DEV1.M938,1,-1,-1
70,M939,ﾌﾞﾗｲﾝﾎﾟﾝﾌﾟ異常,ON,OFF,2,DEV1.M939,1,-1,-1
71,M940,温水ﾎﾟﾝﾌﾟ異常,ON,OFF,2,DEV1.M940,1,-1,-1
72,M941,冷媒ﾎﾟﾝﾌﾟ1差圧異常,ON,OFF,2,DEV1.M941,1,-1,-1
73,M942,冷媒ﾎﾟﾝﾌﾟ2差圧異常,ON,OFF,2,DEV1.M942,1,-1,-1
74,M943,冷却水水槽液面異常,ON,OFF,2,DEV1.M943,1,-1,-1
75,M944,ﾌﾞﾗｲﾝ過熱異常,ON,OFF,2,DEV1.M944,1,-1,-1
76,M945,冷却塔凍結防止ﾋｰﾀ異常,ON,OFF,2,DEV1.M945,1,-1,-1
77,M946,冷凍機1ｵｲﾙﾋｰﾀ異常,ON,OFF,2,DEV1.M946,1,-1,-1
78,M947,冷凍機2ｵｲﾙﾋｰﾀ異常,ON,OFF,2,DEV1.M947,1,-1,-1
79,M948,ﾋｰﾀ類異常,ON,OFF,2,DEV1.M948,1,-1,-1
80,M949,設備異常,ON,OFF,1,DEV1.M949,1,-1,-1
81,M950,冷凍機1異常,ON,OFF,2,DEV1.M950,1,-1,-1
82,M951,冷凍機2異常,ON,OFF,2,DEV1.M951,1,-1,-1
83,M952,冷却塔異常,ON,OFF,2,DEV1.M952,1,-1,-1
84,M953,空き,ON,OFF,5,DEV1.M953,1,-1,-1
85,M954,空き,ON,OFF,5,DEV1.M954,1,-1,-1
86,M955,空き,ON,OFF,5,DEV1.M955,1,-1,-1
87,M956,空き,ON,OFF,5,DEV1.M956,1,-1,-1
88,M957,空き,ON,OFF,5,DEV1.M957,1,-1,-1
89,M958,空き,ON,OFF,5,DEV1.M958,1,-1,-1
90,M959,空き,ON,OFF,5,DEV1.M959,1,-1,-1
91,M960,空き,ON,OFF,5,DEV1.M960,1,-1,-1
92,M961,冷凍機高段起動制限,ON,OFF,5,DEV1.M961,1,-1,-1
93,M962,冷凍機低段起動制限,ON,OFF,5,DEV1.M962,1,-1,-1
94,M963,冷却塔運転中,ON,OFF,5,DEV1.M963,1,-1,-1
95,M964,冷却水ﾎﾟﾝﾌﾟ運転中,ON,OFF,5,DEV1.M964,1,-1,-1
96,M965,補給水ﾎﾟﾝﾌﾟ運転中,ON,OFF,5,DEV1.M965,1,-1,-1
97,M966,揚水ﾎﾟﾝﾌﾟ運転中,ON,OFF,5,DEV1.M966,1,-1,-1
